pdf_id,incremental_updates,eof_marker_count,metadata_anomaly_score,hidden_text_spans,white_text_spans,javascript_count,embedded_files_count,signature_gap_score,render_ela_suspicious_block_ratio,render_noise_hotspot_ratio,object_count,stream_entropy,xref_mismatch_score,font_switch_score,ocr_text_layer_gap,is_scanned_pdf,has_signature,hard_subtle_case,label
PDF_00024,1,2,18.58,0,0,1,0,13.09,0.1411,0.3368,35,6.348,12.26,22.03,45.95,1,1,0,0
PDF_00025,1,2,0.0,0,0,0,0,0.0,0.0,0.0499,43,5.491,0.0,7.33,0.0,0,0,0,0
PDF_00026,0,1,0.0,2,3,1,0,0.0,0.1194,0.281,96,4.826,0.0,0.0,51.4,1,0,0,0
PDF_00027,1,1,26.03,5,4,0,0,12.6,0.3587,0.3654,149,5.943,32.48,36.59,54.77,1,0,0,0
PDF_00028,2,1,0.0,1,0,1,0,0.0,0.1796,0.3107,116,5.125,0.0,3.35,51.69,1,0,0,0
PDF_00029,1,2,22.11,3,2,1,0,26.98,0.0886,0.1528,141,5.48,36.42,7.0,17.75,0,0,0,0
PDF_00030,0,1,24.39,2,3,0,0,3.74,0.0695,0.1548,81,5.681,14.08,29.97,0.0,0,1,0,0
PDF_00031,1,1,3.95,1,0,0,0,0.0,0.216,0.2614,119,6.494,3.07,31.34,50.63,1,0,0,0
PDF_00032,1,3,36.91,5,1,0,0,26.57,0.1888,0.2364,99,5.352,30.76,68.8,18.77,0,1,0,0
PDF_00033,1,1,5.24,2,5,0,0,0.0,0.0827,0.0,61,5.937,0.0,9.01,7.12,0,0,0,0
PDF_00034,1,1,27.43,5,1,0,0,0.0,0.2018,0.1707,153,6.049,18.49,21.15,17.59,0,0,0,0
PDF_00035,1,2,11.86,1,2,1,0,9.84,0.065,0.1548,86,4.534,4.33,19.65,12.26,0,1,0,0
PDF_00036,1,2,0.0,2,0,1,0,0.0,0.0728,0.059,82,4.566,21.52,10.22,0.0,0,0,0,0
PDF_00037,1,1,0.0,0,1,0,0,0.0,0.1099,0.2049,72,4.88,0.0,0.0,16.77,1,1,0,0
PDF_00038,0,1,33.31,0,0,1,0,29.78,0.2601,0.4281,143,4.518,13.18,24.29,75.84,1,1,0,0
PDF_00039,0,2,19.81,4,2,1,0,12.73,0.1914,0.3626,119,5.395,5.84,12.99,62.52,1,0,0,0
PDF_00040,1,1,0.0,0,2,0,0,0.0,0.1033,0.3683,57,3.706,0.0,0.0,69.81,1,1,0,0
PDF_00041,0,1,7.69,0,0,1,0,0.0,0.1085,0.084,40,4.898,5.32,0.0,0.0,0,0,0,0
PDF_00042,0,1,0.0,0,0,1,0,0.0,0.0352,0.1492,61,5.408,0.0,0.0,0.0,0,0,0,0
PDF_00043,1,2,16.13,2,3,1,0,0.0,0.1889,0.1866,141,6.302,17.05,34.78,43.55,0,0,0,0
PDF_00044,1,1,0.0,0,0,0,0,0.0,0.0,0.102,43,5.365,15.62,0.0,0.0,0,0,0,0
PDF_00045,3,1,12.71,2,1,1,0,16.65,0.1168,0.0696,70,5.867,26.46,18.11,31.74,0,1,0,0
PDF_00046,1,2,37.7,3,0,0,0,0.0,0.1512,0.0574,130,5.194,4.12,16.25,39.23,0,0,0,0
PDF_00047,1,1,35.82,6,4,0,0,24.01,0.1865,0.2863,135,7.314,30.52,34.77,21.17,0,0,0,0
PDF_00048,1,1,25.11,4,5,0,0,4.84,0.2192,0.3566,105,4.756,30.61,34.95,57.65,1,0,0,0
PDF_00049,0,1,15.94,0,0,0,0,11.54,0.0819,0.1195,103,5.81,0.0,4.3,0.04,0,1,0,0
PDF_00050,0,1,0.0,3,1,0,0,3.96,0.0679,0.0391,73,5.525,8.73,21.01,8.15,0,0,0,0
PDF_00051,1,1,0.0,0,0,0,0,2.87,0.0501,0.218,28,3.569,0.0,0.0,32.18,1,1,0,0
PDF_00052,0,1,0.0,0,0,1,0,0.0,0.0,0.1638,37,3.936,0.0,0.0,0.0,0,0,0,0
PDF_00053,2,2,0.0,2,0,0,0,0.0,0.1229,0.2812,75,5.563,0.0,0.0,48.43,1,0,0,0
PDF_00054,1,1,8.75,3,0,0,0,0.0,0.2218,0.2652,105,5.113,0.73,0.0,50.8,1,0,0,0
PDF_00055,1,2,18.27,2,3,0,0,11.49,0.2869,0.3716,134,5.077,22.22,35.69,65.38,1,0,0,0
PDF_00056,0,1,15.04,1,1,0,0,20.81,0.0,0.0679,37,4.899,12.18,0.0,0.0,0,1,0,0
PDF_00057,0,1,0.0,2,0,0,0,0.0,0.028,0.2993,55,4.607,0.0,0.0,53.45,1,0,0,0
PDF_00058,1,3,2.59,0,3,1,0,0.0,0.1452,0.1952,84,5.775,0.0,5.45,69.31,1,0,0,0
PDF_00059,0,1,0.0,0,0,1,0,0.0,0.0217,0.0489,12,5.887,0.0,0.0,0.0,0,1,0,0
PDF_00060,0,2,11.12,2,1,1,0,26.12,0.1115,0.0954,115,5.259,40.91,32.23,16.76,0,0,0,0
PDF_00061,0,2,44.58,5,4,0,0,18.53,0.2814,0.3229,131,5.79,30.89,20.88,61.68,1,1,0,0
PDF_00062,0,1,0.0,2,0,0,0,0.0,0.0287,0.1276,49,5.287,0.0,5.66,0.0,0,0,0,0
PDF_00063,1,1,27.37,1,2,0,0,14.94,0.1038,0.2067,103,5.802,39.69,45.95,9.92,0,0,0,0
PDF_00064,1,2,0.0,0,0,0,0,4.56,0.1223,0.1562,89,5.158,19.89,11.23,0.0,0,0,0,0
PDF_00065,1,2,7.3,0,0,0,0,0.0,0.0611,0.0735,105,5.271,14.12,0.0,6.32,0,1,0,0
PDF_00066,1,1,16.91,1,2,0,0,7.27,0.1139,0.0163,130,5.517,19.29,8.15,10.96,0,1,0,0
PDF_00067,2,2,56.61,3,1,1,0,7.46,0.2801,0.3884,151,5.617,41.14,47.93,53.63,1,0,0,0
PDF_00068,1,1,13.23,3,4,1,0,0.0,0.2066,0.3446,173,4.656,26.34,43.45,72.43,1,0,0,0
PDF_00069,0,1,0.0,0,3,0,0,0.0,0.1165,0.0259,64,5.566,1.55,15.93,9.81,0,0,0,0
PDF_00070,1,1,50.57,2,5,2,0,26.44,0.1217,0.0514,133,5.509,45.77,30.86,25.07,0,1,0,0
PDF_00071,1,1,0.0,0,3,0,0,21.63,0.171,0.3618,70,3.294,0.0,0.0,53.85,1,1,0,0
PDF_00072,0,1,0.0,2,2,0,0,0.0,0.0,0.1347,43,5.845,11.0,0.27,0.0,0,1,0,0
PDF_00073,1,1,36.51,2,5,1,0,10.89,0.1999,0.3212,119,5.763,21.1,18.65,69.12,1,1,0,0
PDF_00074,1,1,24.22,2,3,1,0,24.78,0.0841,0.088,105,5.85,29.61,34.06,21.39,0,0,0,0
PDF_00075,1,1,0.0,2,0,0,1,0.0,0.0117,0.0359,25,5.807,0.0,0.0,0.0,0,0,0,0
PDF_00076,1,2,0.0,1,1,1,0,0.0,0.0,0.0353,30,4.569,0.0,0.0,5.02,0,1,0,0
PDF_00077,2,1,11.14,4,4,0,0,11.89,0.0974,0.1587,78,5.589,12.89,6.63,4.95,0,1,0,0
PDF_00078,1,1,32.65,0,1,0,0,0.0,0.1383,0.1559,88,5.543,30.4,46.43,2.1,0,0,0,0
PDF_00079,0,3,46.94,5,6,1,0,44.97,0.2512,0.3037,101,5.814,51.06,47.84,68.27,1,1,0,0
PDF_00080,0,2,25.44,5,3,1,0,13.01,0.2989,0.3459,80,6.517,39.19,38.06,78.78,1,0,0,0
PDF_00081,0,1,13.9,1,3,0,0,26.63,0.1862,0.3035,98,6.518,25.19,33.21,77.16,1,0,0,0
PDF_00082,2,2,36.36,0,1,0,0,10.96,0.2008,0.196,111,5.79,36.38,12.53,19.5,0,0,0,0
PDF_00083,2,1,34.51,4,4,1,0,13.14,0.1731,0.1299,120,6.025,32.61,41.66,28.42,0,0,0,0
PDF_00084,0,1,31.26,0,1,0,0,27.34,0.2286,0.3966,137,5.752,34.16,33.82,65.26,1,1,0,0
PDF_00085,0,1,3.62,1,5,0,0,11.37,0.0741,0.1655,102,6.196,5.23,23.21,10.25,0,1,0,0
PDF_00086,1,3,0.62,0,1,0,0,0.0,0.1315,0.2737,124,5.664,19.93,19.52,43.44,1,1,0,0
PDF_00087,0,2,22.93,2,2,0,0,0.0,0.1314,0.1019,69,5.425,16.75,29.75,16.11,0,0,0,0
PDF_00088,0,1,9.92,5,2,1,0,0.17,0.1322,0.0626,81,5.283,17.01,11.61,24.57,0,0,0,0
PDF_00089,2,1,0.0,0,1,0,0,0.0,0.0,0.0616,33,5.536,0.0,0.0,6.72,0,0,0,0
PDF_00090,2,1,0.0,3,0,0,0,0.0,0.1403,0.2193,34,5.786,0.0,0.0,67.06,1,0,0,0
PDF_00091,1,1,0.0,3,0,1,0,0.0,0.0918,0.1109,110,5.484,0.0,6.69,6.14,0,0,0,0
PDF_00092,0,2,0.0,1,1,0,0,9.15,0.1261,0.3124,113,4.335,0.19,0.0,54.19,1,1,0,0
PDF_00093,1,2,38.35,5,5,0,0,52.91,0.0794,0.1082,150,5.89,50.13,45.09,38.21,0,1,0,0
PDF_00094,1,1,0.0,4,0,0,0,0.0,0.1245,0.3095,66,4.032,6.04,0.0,44.4,1,1,0,0
PDF_00095,0,1,19.36,4,0,1,0,13.63,0.0326,0.1348,58,5.803,0.0,8.07,2.95,0,1,0,0
PDF_00096,1,1,14.89,3,2,0,0,5.92,0.2067,0.3308,115,6.004,0.0,33.62,41.22,1,1,0,0
PDF_00097,1,1,24.85,6,5,1,0,26.97,0.1394,0.2315,102,6.217,39.44,37.96,20.88,0,1,0,0
PDF_00098,1,1,0.0,1,0,1,0,11.78,0.1461,0.1966,80,6.912,27.3,30.39,4.99,0,0,0,0
PDF_00099,2,3,67.42,5,8,0,0,35.5,0.2217,0.1555,133,6.483,50.63,49.64,23.66,0,0,0,0
PDF_00100,1,1,0.0,0,0,0,0,0.0,0.1413,0.3026,49,5.744,0.0,25.8,36.54,1,0,0,0
PDF_00101,0,1,0.0,2,0,0,0,0.0,0.1571,0.2824,103,5.503,15.13,13.08,53.57,1,0,0,0
PDF_00102,1,1,24.14,0,0,1,0,0.54,0.1262,0.1404,112,5.643,7.88,0.0,0.0,0,0,0,0
PDF_00103,0,2,7.12,0,1,1,0,0.88,0.116,0.1631,106,5.495,0.0,3.27,5.96,0,0,0,0
PDF_00104,0,1,17.43,6,1,0,0,0.0,0.0511,0.0778,101,4.362,8.18,1.94,4.17,0,0,0,0
PDF_00105,1,1,0.0,2,0,0,0,0.0,0.0712,0.4044,62,5.602,0.0,0.0,47.87,1,0,0,0
PDF_00106,1,2,46.88,8,7,0,0,2.7,0.1638,0.2038,75,6.204,35.01,33.08,13.57,0,0,0,0
PDF_00107,1,1,43.03,6,4,0,0,14.96,0.1689,0.177,95,6.282,34.91,20.9,11.61,0,0,0,0
PDF_00108,0,1,15.62,4,0,0,0,17.06,0.1244,0.1164,67,5.848,3.59,0.0,0.0,0,0,0,0
PDF_00109,2,2,22.97,4,0,0,0,4.06,0.0888,0.0,86,4.553,15.27,0.87,3.96,0,0,0,0
PDF_00110,0,2,5.64,0,3,0,0,0.0,0.1691,0.3298,78,6.028,9.04,28.49,60.14,1,0,0,0
PDF_00111,1,1,0.0,3,3,0,0,0.36,0.0809,0.036,17,5.392,0.0,0.0,0.0,0,1,0,0
PDF_00112,0,2,40.8,2,4,1,0,12.4,0.2735,0.3209,149,6.583,7.54,11.0,72.47,1,0,0,0
PDF_00113,0,1,0.0,0,0,0,0,0.0,0.1614,0.3199,81,6.02,0.0,7.14,58.17,1,0,0,0
PDF_00114,0,1,25.5,0,3,1,0,0.0,0.0863,0.139,105,6.042,15.18,40.2,10.26,0,0,0,0
PDF_00115,0,2,36.75,1,0,0,0,16.5,0.1337,0.0873,125,6.229,10.67,19.36,29.15,0,1,0,0
PDF_00116,0,1,14.79,4,3,1,1,11.52,0.232,0.3677,129,6.307,19.94,31.89,86.72,1,0,0,0
PDF_00117,0,1,4.97,2,0,0,0,5.0,0.1131,0.3375,137,6.112,3.77,0.0,69.76,1,0,0,0
PDF_00118,1,2,0.0,0,0,1,0,18.35,0.1436,0.343,161,5.63,13.64,19.39,48.88,1,1,0,0
PDF_00119,0,1,8.77,3,0,0,0,0.0,0.1175,0.3587,89,4.994,15.85,16.49,49.44,1,0,0,0
PDF_00120,0,1,12.02,4,0,1,0,0.0,0.0765,0.128,94,5.635,3.06,0.0,2.36,0,1,0,0
PDF_00121,1,2,31.65,2,0,0,0,10.99,0.0797,0.2028,71,5.234,9.56,0.32,20.35,0,0,0,0
PDF_00122,0,1,7.31,3,0,0,0,0.0,0.0191,0.1196,39,6.467,0.0,8.12,0.0,0,1,0,0
PDF_00123,2,2,32.92,1,1,1,0,11.24,0.1399,0.0366,110,6.16,30.27,21.64,17.95,0,1,0,0
PDF_00124,0,1,3.02,0,3,0,0,0.0,0.113,0.332,62,6.355,0.0,1.09,52.27,1,0,0,0
PDF_00125,0,3,0.0,3,2,0,0,24.85,0.1106,0.0213,115,5.647,3.99,13.07,0.0,0,0,0,0
PDF_00126,1,1,0.0,0,2,0,0,0.0,0.1027,0.1384,64,6.261,10.83,13.58,3.49,0,0,0,0
PDF_00127,0,1,11.01,2,0,0,0,11.06,0.216,0.3106,66,5.45,3.96,5.69,57.94,1,0,0,0
PDF_00128,0,1,21.49,1,0,0,0,0.0,0.0903,0.1094,56,5.729,4.8,6.08,1.24,0,0,0,0
PDF_00129,0,1,34.09,0,2,0,0,15.55,0.1783,0.1781,107,5.143,21.49,58.85,31.01,0,0,0,0
PDF_00130,0,1,0.0,0,0,0,0,0.0,0.0978,0.3228,48,4.907,0.0,0.0,57.92,1,0,0,0
PDF_00131,0,1,16.64,4,1,0,0,0.0,0.0912,0.099,103,5.472,36.44,28.87,13.28,0,0,0,0
PDF_00132,0,2,38.67,3,0,1,0,33.22,0.0403,0.1372,116,5.013,10.8,34.91,1.62,0,0,0,0
PDF_00133,1,2,34.51,2,2,0,1,15.18,0.103,0.128,122,4.975,11.64,9.34,0.0,0,0,0,0
PDF_00134,1,3,60.94,6,2,1,0,26.44,0.3301,0.4573,178,6.057,19.47,87.14,82.41,1,1,0,0
PDF_00135,0,1,0.0,1,0,0,0,0.0,0.1398,0.2507,38,5.268,0.0,0.0,51.69,1,0,0,0
PDF_00136,1,2,49.74,1,2,1,0,10.37,0.2002,0.4116,170,5.316,26.04,46.32,63.94,1,1,0,0
PDF_00137,0,2,0.0,3,0,0,0,0.0,0.0418,0.0889,83,4.016,0.0,0.0,5.22,0,0,0,0
PDF_00138,1,3,6.25,0,0,0,0,3.8,0.1106,0.1793,132,5.056,12.19,22.74,38.65,0,0,0,0
PDF_00139,1,2,0.0,0,1,0,0,0.0,0.192,0.2699,111,5.158,0.0,0.0,32.15,1,0,0,0
PDF_00140,1,1,24.49,4,0,0,0,2.29,0.1748,0.24,133,6.322,1.34,2.13,53.39,1,0,0,0
PDF_00141,1,1,5.57,0,1,0,0,0.0,0.1511,0.3371,40,5.231,6.78,3.17,66.21,1,0,0,0
PDF_00142,2,1,0.0,0,0,1,0,16.66,0.0958,0.1015,62,4.612,9.97,0.0,2.69,0,0,0,0
PDF_00143,1,1,22.17,0,0,0,0,23.56,0.0833,0.1679,42,5.773,17.75,23.65,3.88,0,0,0,0
PDF_00144,2,2,37.76,3,2,1,0,8.09,0.1384,0.1346,144,5.535,13.7,13.35,15.56,0,1,0,0
PDF_00145,0,2,22.97,1,0,1,0,0.0,0.0556,0.0233,97,5.231,0.0,6.2,0.0,0,0,0,0
PDF_00146,1,1,0.0,0,0,0,0,0.0,0.0665,0.37,133,5.274,0.0,0.0,52.93,1,0,0,0
PDF_00147,2,1,32.94,2,1,0,0,0.0,0.2055,0.1202,78,5.407,9.58,15.12,0.0,0,0,0,0
PDF_00148,1,2,27.73,2,4,1,0,0.3,0.1529,0.1263,98,6.454,28.0,30.31,28.69,0,0,0,0
PDF_00149,0,2,49.37,4,6,1,0,46.65,0.2692,0.3781,120,5.821,40.41,40.83,70.87,1,1,0,0
PDF_00150,1,1,11.55,1,2,0,0,9.82,0.1385,0.1469,118,6.332,64.67,48.24,25.43,0,0,0,0
PDF_00151,0,1,11.05,5,2,2,0,10.9,0.0427,0.1099,42,5.246,0.0,0.0,14.4,0,1,0,0
PDF_00152,2,1,34.87,4,2,0,0,23.69,0.2417,0.3319,154,6.36,6.53,28.35,62.37,1,1,0,0
PDF_00153,0,1,0.0,0,0,0,0,0.0,0.0351,0.1174,43,4.564,0.0,0.0,0.0,0,0,0,0
PDF_00154,0,1,11.99,4,3,1,0,5.85,0.1824,0.3026,100,4.86,7.2,0.0,48.51,1,1,0,0
PDF_00155,2,1,9.68,0,3,0,0,4.17,0.0601,0.0426,72,4.772,8.38,3.05,8.42,0,0,0,0
PDF_00156,1,1,0.0,0,1,0,0,10.77,0.0,0.0692,49,5.97,0.0,0.0,4.97,0,1,0,0
PDF_00157,1,1,8.79,3,2,0,0,0.0,0.2273,0.3528,59,5.147,8.79,32.21,60.07,1,1,0,0
PDF_00158,2,1,33.56,5,3,0,0,5.93,0.2335,0.4145,143,5.392,16.23,35.55,69.11,1,0,0,0
PDF_00159,0,1,18.0,0,0,1,0,0.0,0.1479,0.1954,71,4.787,21.34,12.71,11.12,0,0,0,0
PDF_00160,0,2,0.0,4,1,0,0,15.95,0.0,0.0095,39,5.8,0.0,0.0,0.0,0,1,0,0
PDF_00161,0,1,0.0,2,4,0,0,0.0,0.0909,0.2985,67,5.163,0.0,18.73,47.55,1,1,0,0
PDF_00162,0,2,40.75,2,4,0,0,10.56,0.1952,0.0716,128,5.346,13.67,32.87,9.41,0,0,0,0
PDF_00163,1,2,0.0,3,0,0,0,0.0,0.09,0.0377,110,6.289,0.0,2.6,2.87,0,1,0,0
PDF_00164,0,2,0.0,0,2,1,0,0.0,0.0,0.0754,5,4.105,0.0,0.0,0.0,0,0,0,0
PDF_00165,2,2,28.16,2,5,2,0,4.86,0.1208,0.1731,100,5.305,8.85,4.74,11.42,0,0,0,0
PDF_00166,0,1,24.0,0,0,1,0,8.12,0.0996,0.207,88,5.01,14.96,30.25,14.78,0,0,0,0
PDF_00167,2,1,36.89,0,4,0,0,16.62,0.1142,0.1789,80,5.957,16.59,12.28,26.21,0,1,0,0
PDF_00168,1,2,0.0,0,2,0,0,0.0,0.1382,0.2531,91,4.612,0.0,0.0,31.76,1,1,0,0
PDF_00169,1,2,16.13,0,0,0,0,11.65,0.1304,0.2482,108,4.98,26.29,22.43,33.64,1,1,0,0
PDF_00170,1,1,22.48,1,5,1,0,0.0,0.1047,0.1203,74,5.163,0.0,20.11,2.05,0,0,0,0
PDF_00171,0,2,17.42,0,2,0,0,3.05,0.1698,0.227,100,5.858,7.07,0.0,53.83,1,0,0,0
PDF_00172,2,3,39.03,5,3,1,0,26.53,0.2981,0.3712,97,6.032,14.41,44.33,59.21,1,1,0,0
PDF_00173,1,2,24.44,3,3,0,0,10.93,0.1568,0.1654,80,6.367,33.89,29.16,29.13,0,0,0,0
PDF_00174,0,1,17.44,2,2,1,0,4.54,0.1442,0.1035,126,5.154,0.0,0.0,11.62,0,0,0,0
PDF_00175,1,1,10.8,3,3,2,0,12.55,0.0545,0.059,79,6.477,20.04,26.66,9.97,0,0,0,0
PDF_00176,1,2,16.43,2,2,1,0,0.24,0.0387,0.1355,93,5.402,4.76,1.14,20.7,0,0,0,0
PDF_00177,0,2,0.0,1,0,0,0,3.46,0.196,0.3321,75,4.431,20.32,0.0,36.92,1,0,0,0
PDF_00178,1,1,23.87,2,1,1,0,0.0,0.1254,0.1418,116,5.318,19.23,11.23,14.8,0,1,0,0
PDF_00179,0,2,32.53,3,3,1,0,35.57,0.1785,0.2026,67,6.348,6.3,26.98,13.85,0,1,0,0
PDF_00180,2,1,31.76,5,5,1,0,42.24,0.1485,0.1869,141,4.646,44.27,53.02,26.26,0,0,0,0
PDF_00181,0,1,13.73,4,4,0,0,0.0,0.0464,0.1451,100,5.487,0.0,0.88,0.0,0,0,0,0
PDF_00182,0,2,0.0,2,4,0,0,0.0,0.0545,0.0258,94,5.617,19.46,6.69,8.95,0,0,0,0
PDF_00183,1,2,0.0,2,1,0,0,0.0,0.043,0.0829,38,5.494,0.0,0.0,6.2,0,0,0,0
PDF_00184,0,1,47.45,5,2,0,0,14.47,0.0712,0.1053,106,5.986,0.0,26.52,17.05,0,0,0,0
PDF_00185,1,2,55.96,4,5,2,0,32.43,0.361,0.3437,157,5.41,45.56,61.3,76.11,1,0,0,0
PDF_00186,0,1,25.24,5,0,1,0,0.0,0.0,0.0686,101,4.265,20.48,0.0,9.61,0,0,0,0
PDF_00187,0,1,0.0,2,0,1,0,0.0,0.0921,0.2699,95,5.583,3.47,6.95,48.28,1,0,0,0
PDF_00188,0,1,0.0,5,0,1,0,0.0,0.0,0.0662,62,4.94,1.69,0.0,0.0,0,0,0,0
PDF_00189,2,1,27.59,2,6,0,0,0.0,0.0501,0.1696,107,4.938,22.48,14.86,11.66,0,0,0,0
PDF_00190,2,2,47.69,8,7,0,0,17.51,0.1579,0.2573,134,5.813,40.14,56.66,26.72,0,0,0,0
PDF_00191,0,2,17.76,2,5,1,0,25.81,0.1916,0.1795,88,6.534,18.1,12.93,19.88,0,0,0,0
PDF_00192,0,2,0.0,2,2,1,0,0.0,0.1513,0.3344,125,5.332,0.0,0.0,39.27,1,1,0,0
PDF_00193,1,1,18.42,0,0,1,0,0.0,0.146,0.3063,122,4.312,16.07,5.79,79.81,1,0,0,0
PDF_00194,0,1,10.9,1,0,1,0,0.0,0.108,0.0768,86,4.865,0.0,18.36,6.93,0,0,0,0
PDF_00195,1,1,24.07,3,0,0,0,10.64,0.0823,0.2101,124,5.154,26.85,3.28,0.56,0,0,0,0
PDF_00196,2,1,28.65,2,5,0,0,4.63,0.2085,0.3631,101,6.163,0.0,21.72,48.66,1,1,0,0
PDF_00197,0,1,0.0,1,0,0,0,3.68,0.0251,0.1447,68,5.336,0.0,0.47,5.27,0,0,0,0
PDF_00198,2,1,68.56,3,3,2,0,19.07,0.3151,0.1461,140,5.111,43.34,68.07,54.36,0,0,0,0
PDF_00199,1,1,42.83,1,4,0,0,0.0,0.0995,0.2388,127,5.118,40.05,10.1,18.36,0,0,0,0
PDF_00200,1,1,0.0,3,1,1,0,0.0,0.0,0.0337,73,5.013,2.14,0.0,0.0,0,0,0,0
PDF_00201,1,1,8.44,0,5,0,0,0.0,0.0316,0.1412,64,5.443,8.29,5.1,2.25,0,0,0,0
PDF_00202,1,1,26.38,5,0,0,0,17.9,0.1864,0.0958,103,6.777,10.61,13.05,13.88,0,0,0,0
PDF_00203,0,1,29.18,0,3,1,0,0.0,0.0507,0.0594,110,4.425,10.02,10.47,20.12,0,0,0,0
PDF_00204,1,1,0.0,0,3,0,0,0.0,0.0,0.171,100,5.04,9.07,0.0,10.86,0,0,0,0
PDF_00205,0,1,0.93,0,1,1,0,0.0,0.056,0.0924,123,4.576,3.54,0.0,10.53,0,1,0,0
PDF_00206,0,2,7.57,2,1,0,0,4.24,0.0326,0.0282,19,4.833,16.87,0.0,14.77,0,1,0,0
PDF_00207,1,1,0.0,2,0,0,0,10.04,0.0879,0.3109,88,6.063,6.34,0.0,65.27,1,0,0,0
PDF_00208,1,1,18.56,1,1,0,0,0.0,0.1485,0.2567,89,6.146,0.0,0.0,38.01,1,1,0,0
PDF_00209,0,1,4.05,0,2,0,0,6.3,0.0544,0.1345,75,4.713,11.72,17.21,19.51,0,0,0,0
PDF_00210,0,1,0.0,0,0,0,0,0.0,0.1302,0.3441,60,5.452,0.0,0.0,40.15,1,0,0,0
PDF_00211,1,1,1.17,0,2,1,0,0.0,0.0,0.1246,51,5.593,0.0,0.0,26.33,0,0,0,0
PDF_00212,1,1,0.0,4,1,0,0,0.0,0.0,0.1037,59,5.887,4.66,0.0,9.27,0,0,0,0
PDF_00213,3,3,16.13,3,0,0,1,0.0,0.0514,0.0946,112,5.259,0.0,0.0,1.81,0,0,0,0
PDF_00214,0,2,16.15,3,0,1,0,4.42,0.1596,0.1192,67,5.4,11.14,29.54,13.97,0,0,0,0
PDF_00215,0,1,0.0,1,0,1,0,0.0,0.0217,0.1625,60,4.742,6.82,13.63,0.0,0,0,0,0
PDF_00216,2,2,5.15,3,0,0,0,0.0,0.0777,0.2232,110,4.485,0.85,0.62,12.95,0,0,0,0
PDF_00217,0,1,0.0,1,1,0,0,5.98,0.0284,0.0501,26,5.257,2.94,0.0,0.0,0,1,0,0
PDF_00218,0,1,2.33,0,0,0,0,0.0,0.0,0.1513,44,5.773,0.0,20.41,10.84,0,0,0,0
