doc_id,ela_score,dct_score,metadata_flag_count,clone_ratio,text_alignment_score,font_inconsistency,signature_mismatch,noise_hotspots,color_patch_score,ai_artifact_score,compression_mismatch,label
DOC_0087,39.54,18.69,3,0.0006,35.92,30.11,34.35,26.34,31.57,15.14,13.27,0
DOC_0088,70.96,67.62,1,0.0065,13.0,0.0,1.56,55.13,0.0,4.17,38.15,0
DOC_0089,31.14,30.1,2,0.0031,6.05,3.73,-1.0,1.1,0.0,10.11,42.4,0
DOC_0090,29.07,25.64,2,0.0064,9.69,5.06,-1.0,0.0,7.41,0.06,6.96,0
DOC_0091,19.44,33.92,1,0.0067,13.64,5.33,8.73,16.05,0.0,1.99,21.2,0
DOC_0092,16.11,41.17,4,0.0037,27.64,11.3,15.39,45.88,18.49,4.38,25.06,0
DOC_0093,18.96,59.49,4,0.0163,7.07,13.62,8.4,32.88,21.35,3.32,67.18,0
DOC_0094,44.19,60.58,1,0.021,10.96,19.8,34.23,61.64,6.3,7.47,96.7,0
DOC_0095,11.57,36.39,2,0.0066,17.77,0.5,4.31,15.34,3.38,6.17,2.44,0
DOC_0096,66.96,70.0,1,0.0033,2.32,15.56,37.47,59.42,19.44,11.35,59.14,0
DOC_0097,43.08,16.19,1,0.0092,13.73,44.71,7.85,13.62,16.2,15.28,29.7,0
DOC_0098,96.79,62.08,0,0.0143,10.78,1.44,-1.0,42.46,25.08,1.38,25.71,0
DOC_0099,40.83,67.39,3,0.0079,28.22,33.53,-1.0,27.38,10.93,11.22,17.22,0
DOC_0100,58.51,69.89,1,0.009,16.54,3.45,16.24,20.09,9.56,3.95,76.13,0
DOC_0101,18.45,25.3,3,0.0033,0.0,7.42,-1.0,30.31,15.31,3.93,32.91,0
DOC_0102,42.23,30.28,4,0.0019,10.98,8.11,6.71,52.86,32.29,17.6,12.73,0
DOC_0103,1.69,48.08,1,0.0159,11.75,16.45,10.83,34.62,0.0,5.63,40.88,0
DOC_0104,39.82,58.3,0,0.0031,16.63,0.0,38.61,69.59,10.67,5.34,44.73,0
DOC_0105,16.62,37.12,1,0.0023,6.74,11.71,1.03,21.78,5.07,15.79,11.94,0
DOC_0106,51.13,39.19,3,0.0055,6.47,8.62,31.22,38.42,20.22,0.0,20.43,0
DOC_0107,27.6,13.43,2,0.001,12.31,9.04,20.49,11.77,6.5,11.64,23.56,0
DOC_0108,68.84,93.97,0,0.0373,19.42,21.64,35.99,78.07,30.73,5.81,45.41,0
DOC_0109,46.33,19.61,0,0.0107,9.79,0.0,27.13,67.49,22.83,6.51,82.11,0
DOC_0110,42.36,41.02,2,0.0117,6.66,23.58,19.14,22.07,27.04,15.43,28.26,0
DOC_0111,63.56,90.43,1,0.0034,0.0,10.3,19.2,33.06,2.21,5.95,69.49,0
DOC_0112,13.36,25.89,2,0.0097,10.67,7.39,-1.0,7.15,11.89,4.4,22.2,0
DOC_0113,48.69,47.13,0,0.0149,8.8,0.0,-1.0,47.12,32.63,4.69,96.37,0
DOC_0114,13.49,21.85,2,0.0033,15.25,2.88,16.62,6.82,7.98,4.15,13.47,0
DOC_0115,45.45,44.33,2,0.0115,26.51,12.35,-1.0,52.7,27.57,1.85,50.25,0
DOC_0116,79.98,76.99,0,0.0032,18.71,0.0,-1.0,36.97,0.0,8.62,76.52,0
DOC_0117,14.27,4.05,3,0.0095,4.8,0.44,-1.0,14.72,18.63,13.31,13.43,0
DOC_0118,30.97,41.56,3,0.0007,26.27,1.17,-1.0,40.92,22.41,17.31,22.95,0
DOC_0119,62.39,31.2,1,0.007,22.84,9.73,14.87,16.87,11.65,16.35,16.19,0
DOC_0120,20.35,6.43,2,0.0255,14.99,3.87,-1.0,17.01,14.89,0.0,18.62,0
DOC_0121,46.43,44.7,1,0.0085,14.86,0.0,13.42,52.86,28.85,0.0,19.85,0
DOC_0122,71.29,92.03,0,0.0082,23.0,4.97,-1.0,62.76,10.47,8.74,82.37,0
DOC_0123,44.85,31.47,4,0.012,0.0,7.57,6.64,41.75,56.32,12.39,23.72,0
DOC_0124,55.6,75.67,1,0.0311,0.49,12.9,31.68,63.29,32.81,8.41,70.79,0
DOC_0125,21.88,11.54,2,0.0024,5.58,7.49,-1.0,35.63,1.59,5.12,32.12,0
DOC_0126,17.36,24.52,3,0.0079,10.57,0.05,-1.0,26.87,23.54,7.9,21.26,0
DOC_0127,19.56,16.47,1,0.0107,15.91,4.48,0.0,0.0,4.35,11.48,17.77,0
DOC_0128,20.01,22.43,2,0.0203,23.4,15.06,0.0,48.26,38.26,13.99,22.82,0
DOC_0129,65.27,69.71,1,0.001,19.5,5.19,16.19,47.2,1.23,7.63,97.39,0
DOC_0130,39.99,61.87,0,0.0018,11.44,13.07,17.34,40.74,10.07,10.36,97.0,0
DOC_0131,16.94,10.25,2,0.0173,13.08,5.06,-1.0,18.32,9.14,8.55,13.65,0
DOC_0132,22.1,17.4,2,0.0112,14.52,9.3,-1.0,18.67,19.03,3.88,14.51,0
DOC_0133,57.65,66.36,0,0.0063,1.46,11.0,19.19,33.54,10.65,7.35,89.62,0
DOC_0134,21.09,33.58,0,0.0205,39.02,34.8,-1.0,20.19,0.0,11.07,44.48,0
DOC_0135,16.9,29.53,2,0.0043,12.45,1.17,10.24,36.71,6.94,5.62,23.51,0
DOC_0136,62.65,85.51,1,0.001,1.44,8.24,-1.0,47.43,27.6,8.49,36.14,0
DOC_0137,15.53,12.48,2,0.0073,8.69,2.1,8.45,11.81,3.22,10.38,18.21,0
DOC_0138,68.52,34.15,4,0.001,0.0,13.82,12.19,16.54,28.74,6.14,37.2,0
DOC_0139,64.18,47.56,1,0.0048,6.81,18.65,-1.0,40.95,10.2,11.35,41.63,0
DOC_0140,9.28,34.11,2,0.0001,9.4,7.91,-1.0,3.56,8.65,4.83,15.92,0
DOC_0141,60.07,21.13,1,0.0005,3.78,16.84,30.87,60.31,37.75,0.84,71.79,0
DOC_0142,77.01,42.93,0,0.0156,14.08,0.0,11.07,89.57,3.38,14.2,74.9,0
DOC_0143,9.27,15.89,2,0.001,12.68,6.25,8.71,9.38,6.74,0.0,9.94,0
DOC_0144,75.37,89.39,0,0.0014,12.24,7.68,-1.0,42.65,12.05,4.82,76.9,0
DOC_0145,60.67,48.34,0,0.0003,24.79,9.25,20.29,87.6,23.7,7.36,64.72,0
DOC_0146,5.43,8.73,2,0.0007,21.39,4.9,-1.0,7.12,4.27,4.16,13.28,0
DOC_0147,32.31,68.46,1,0.0011,4.64,12.33,26.99,51.56,24.97,5.21,56.41,0
DOC_0148,79.67,13.96,2,0.0165,18.68,5.47,16.8,56.19,13.56,13.02,34.56,0
DOC_0149,27.01,19.49,2,0.0034,4.08,7.2,0.0,25.56,9.34,4.73,20.86,0
DOC_0150,22.17,26.45,2,0.0175,7.09,11.83,8.36,20.94,0.0,8.28,19.95,0
DOC_0151,34.72,24.17,2,0.0175,37.33,42.18,-1.0,44.3,26.16,12.35,34.19,0
DOC_0152,30.38,41.05,3,0.0065,21.08,2.63,16.12,42.06,9.06,4.6,32.83,0
DOC_0153,50.11,49.46,1,0.0428,13.71,21.64,18.03,45.89,12.37,3.39,43.9,0
DOC_0154,74.44,51.51,0,0.0061,2.09,0.0,30.03,24.71,21.84,18.8,76.58,0
DOC_0155,19.68,15.08,1,0.0066,11.03,0.22,10.52,14.74,0.0,1.53,13.91,0
DOC_0156,13.81,21.52,2,0.0023,7.94,10.78,-1.0,23.25,2.8,1.71,14.96,0
DOC_0157,7.23,11.81,2,0.0021,9.16,4.87,16.05,17.65,4.5,0.0,16.66,0
DOC_0158,83.34,71.67,0,0.0016,21.89,1.56,-1.0,79.24,32.04,7.16,51.25,0
DOC_0159,18.0,26.01,2,0.0041,0.68,12.18,7.44,21.22,1.17,10.2,17.24,0
DOC_0160,23.36,9.28,2,0.0019,2.59,11.38,0.0,5.99,11.83,3.36,24.03,0
DOC_0161,13.65,18.37,1,0.0037,4.92,0.0,-1.0,12.71,2.03,0.0,16.09,0
DOC_0162,76.19,45.98,0,0.0037,19.47,15.38,6.77,52.89,18.24,15.38,43.88,0
DOC_0163,15.17,14.26,0,0.002,17.29,10.94,0.0,16.73,9.46,3.88,32.9,0
DOC_0164,10.99,17.57,0,0.0032,0.42,14.57,19.59,30.31,22.77,0.44,20.6,0
DOC_0165,51.25,66.19,1,0.0102,11.97,0.0,24.62,23.65,1.94,5.83,82.66,0
DOC_0166,25.9,19.24,2,0.0005,20.54,6.19,-1.0,35.24,8.04,4.05,14.43,0
DOC_0167,16.56,33.73,2,0.0045,6.4,8.24,-1.0,0.0,10.77,15.12,4.37,0
DOC_0168,42.85,25.73,4,0.0012,14.19,7.41,1.57,57.96,2.48,2.35,42.09,0
DOC_0169,29.87,23.56,2,0.0001,11.63,8.35,-1.0,10.63,7.6,15.5,15.53,0
DOC_0170,15.13,13.52,1,0.0157,15.93,7.24,11.2,0.0,14.05,1.58,25.91,0
DOC_0171,5.45,43.39,2,0.0033,12.83,28.21,-1.0,31.59,27.01,19.86,9.23,0
DOC_0172,86.26,56.88,0,0.005,19.37,7.11,-1.0,51.21,23.64,13.32,51.69,0
DOC_0173,22.94,58.58,1,0.0143,3.43,2.38,22.23,43.32,23.2,4.97,56.78,0
DOC_0174,45.22,28.18,0,0.0037,14.34,2.88,-1.0,57.23,4.21,15.33,41.94,0
DOC_0175,26.94,61.87,0,0.0073,13.7,18.22,0.0,36.19,5.53,2.85,83.23,0
DOC_0176,21.35,34.02,3,0.0002,0.0,10.85,-1.0,34.96,26.66,8.03,16.17,0
DOC_0177,22.28,28.88,2,0.0035,10.99,3.89,15.41,9.42,1.4,7.2,25.79,0
DOC_0178,68.87,85.14,2,0.0097,8.9,4.3,-1.0,47.23,16.43,13.34,66.63,0
DOC_0179,69.51,55.9,0,0.0065,15.37,11.95,-1.0,62.82,11.37,12.16,52.12,0
DOC_0180,77.9,66.11,0,0.0081,14.09,10.56,-1.0,54.56,6.47,0.0,74.69,0
DOC_0181,30.56,56.47,1,0.0097,0.0,4.97,-1.0,47.88,24.02,18.94,56.73,0
DOC_0182,34.6,16.44,3,0.0008,4.43,0.0,14.77,40.85,6.91,17.12,50.53,0
DOC_0183,7.31,16.06,1,0.0038,3.91,39.23,7.14,19.17,22.12,4.72,24.74,0
DOC_0184,31.39,33.4,2,0.0016,1.11,0.0,-1.0,25.18,9.63,7.76,21.41,0
DOC_0185,67.86,31.12,1,0.0128,11.65,7.38,1.76,86.87,16.66,11.39,42.71,0
DOC_0186,17.81,18.26,0,0.0081,12.96,14.39,-1.0,32.5,16.29,0.0,24.9,0
DOC_0187,48.95,73.16,0,0.0126,4.48,19.94,9.59,26.88,13.92,9.5,82.72,0
DOC_0188,18.61,27.43,1,0.0048,13.32,5.07,5.04,25.73,22.18,1.07,4.19,0
DOC_0189,20.43,27.22,2,0.0047,12.16,0.0,0.0,9.5,13.16,3.06,17.55,0
DOC_0190,62.38,20.45,0,0.0083,23.55,4.41,-1.0,81.86,23.4,11.42,72.52,0
DOC_0191,57.03,43.98,0,0.0017,21.96,18.39,13.33,78.23,17.45,7.25,62.92,0
DOC_0192,18.69,0.0,3,0.0122,2.89,0.0,10.11,24.22,10.9,7.1,24.07,0
DOC_0193,34.45,8.69,1,0.0059,2.49,6.56,-1.0,7.9,0.45,3.91,14.92,0
DOC_0194,71.4,36.49,1,0.0011,19.83,26.69,24.45,6.21,0.0,19.23,32.68,0
DOC_0195,48.98,64.62,1,0.0054,19.39,12.01,-1.0,56.57,15.92,2.03,67.77,0
DOC_0196,73.45,67.18,0,0.0041,9.6,7.68,5.88,55.5,19.97,8.4,95.59,0
DOC_0197,67.58,62.0,1,0.0057,6.99,12.67,15.02,58.0,19.36,15.42,51.14,0
DOC_0198,17.66,20.58,0,0.0101,0.0,6.96,-1.0,27.0,5.05,0.0,24.2,0
DOC_0199,25.47,12.16,1,0.001,0.0,44.34,-1.0,39.77,6.35,6.79,27.92,0
DOC_0200,68.78,78.02,1,0.0003,21.65,13.26,16.99,40.74,5.11,14.02,84.98,0
DOC_0201,28.35,22.81,3,0.0148,35.6,36.76,23.11,14.51,24.78,18.86,25.38,0
DOC_0202,22.29,20.22,1,0.0037,4.7,4.41,-1.0,16.38,38.23,11.06,40.37,0
DOC_0203,46.16,80.25,1,0.0016,14.43,2.28,7.12,41.48,1.06,11.24,65.67,0
DOC_0204,22.42,26.26,2,0.0012,4.77,3.7,-1.0,18.5,0.0,5.48,15.37,0
DOC_0205,72.19,49.56,2,0.004,14.53,4.34,-1.0,81.35,26.12,1.9,54.34,0
DOC_0206,17.69,18.66,2,0.004,0.13,12.67,-1.0,18.87,14.55,15.06,28.24,0
DOC_0207,65.74,73.81,1,0.0447,24.51,0.0,12.47,75.51,0.0,11.75,71.28,0
DOC_0208,13.26,21.24,2,0.0081,16.89,6.01,0.0,25.11,16.05,1.29,13.15,0
DOC_0209,80.46,85.33,0,0.0085,7.75,14.18,31.31,76.22,24.63,8.26,66.37,0
DOC_0210,0.0,25.55,0,0.009,26.32,0.0,-1.0,28.89,14.58,9.17,18.9,0
DOC_0211,8.96,26.23,3,0.0108,3.17,7.44,10.6,9.84,6.82,3.97,10.53,0
DOC_0212,37.35,13.32,2,0.0007,11.59,0.0,9.37,23.34,5.5,6.1,29.72,0
DOC_0213,50.45,31.67,1,0.0006,7.54,17.05,-1.0,69.53,11.52,11.44,31.21,0
DOC_0214,56.61,60.42,1,0.0071,3.97,3.23,17.75,83.73,14.5,7.3,48.47,0
DOC_0215,61.08,25.18,2,0.0112,36.64,43.36,21.37,25.82,30.14,7.71,11.14,0
DOC_0216,34.21,55.56,1,0.016,23.4,17.11,0.36,26.35,16.4,19.42,47.51,0
DOC_0217,95.28,52.14,0,0.0063,2.66,0.0,-1.0,60.88,14.61,4.71,70.5,0
DOC_0218,23.43,38.09,2,0.0105,11.69,10.81,-1.0,25.16,26.18,13.27,30.38,0
DOC_0219,11.29,11.13,0,0.0104,15.37,5.29,0.53,14.69,2.54,0.32,11.32,0
DOC_0220,20.34,18.13,2,0.0042,10.75,15.7,0.0,9.74,16.33,3.07,21.83,0
DOC_0221,37.12,0.0,2,0.0227,100.0,25.85,-1.0,25.69,23.45,7.73,22.91,0
DOC_0222,53.45,60.93,1,0.004,2.96,21.43,-1.0,59.04,27.58,12.11,85.73,0
DOC_0223,59.37,67.04,0,0.0002,22.37,4.38,-1.0,71.38,22.52,7.3,61.22,0
DOC_0224,63.67,48.8,2,0.0127,23.55,14.94,24.38,34.13,15.25,0.0,29.11,0
DOC_0225,25.97,15.34,3,0.0011,6.86,0.52,12.39,15.85,0.0,4.07,1.7,0
DOC_0226,80.09,68.99,1,0.0116,25.98,7.84,23.94,57.63,13.91,4.83,42.15,0
DOC_0227,80.35,50.34,0,0.0214,14.16,16.24,-1.0,83.67,21.06,15.58,45.31,0
DOC_0228,67.78,72.4,2,0.0038,12.31,11.27,-1.0,19.18,31.29,14.58,84.02,0
DOC_0229,18.58,17.88,2,0.0006,0.55,5.67,-1.0,10.86,19.33,7.78,4.65,0
DOC_0230,42.29,6.79,1,0.0195,53.86,42.3,-1.0,7.21,0.0,5.29,34.62,0
DOC_0231,27.6,15.37,2,0.0043,5.67,7.68,-1.0,0.0,4.05,7.27,8.18,0
DOC_0232,18.47,24.47,2,0.0005,6.76,6.9,-1.0,22.15,0.0,10.8,14.64,0
DOC_0233,68.38,76.55,0,0.0035,5.73,19.26,-1.0,51.97,16.04,9.9,53.01,0
DOC_0234,38.6,27.59,2,0.0161,17.22,10.47,11.44,49.05,26.31,0.0,60.54,0
DOC_0235,19.62,36.32,2,0.0029,11.32,6.76,20.04,0.0,1.3,4.07,21.1,0
DOC_0236,17.55,32.19,2,0.0032,12.56,13.54,-1.0,25.42,11.5,4.35,23.8,0
DOC_0237,45.28,80.27,2,0.0001,18.56,11.1,-1.0,41.31,0.0,1.19,75.17,0
DOC_0238,15.59,7.91,2,0.0132,3.47,0.34,-1.0,19.91,5.85,4.3,25.4,0
DOC_0239,33.36,78.73,0,0.0096,11.7,12.76,17.26,84.27,9.79,10.84,53.99,0
DOC_0240,52.7,5.22,1,0.003,18.7,12.45,8.51,43.01,7.24,16.74,29.46,0
DOC_0241,18.4,48.25,0,0.0075,12.88,14.87,-1.0,63.11,13.05,1.07,31.72,0
DOC_0242,56.15,57.84,0,0.0069,16.87,14.19,14.74,54.97,12.48,0.0,50.48,0
DOC_0243,76.63,64.28,1,0.0229,9.35,21.21,-1.0,83.39,38.3,5.54,68.68,0
DOC_0244,69.22,20.74,1,0.0055,0.0,38.92,25.43,15.72,11.88,3.36,37.96,0
DOC_0245,25.2,24.51,1,0.0048,17.14,0.0,-1.0,7.65,12.33,0.0,25.57,0
DOC_0246,60.56,44.73,2,0.0004,4.12,6.0,0.0,37.48,0.0,1.43,63.67,0
DOC_0247,7.76,21.89,1,0.0061,13.63,2.13,-1.0,0.0,14.35,4.14,25.72,0
DOC_0248,68.62,41.8,0,0.0071,14.39,19.46,29.61,56.78,12.88,15.12,79.55,0
DOC_0249,36.43,35.64,3,0.002,33.41,2.68,16.87,60.87,26.65,2.67,55.33,0
DOC_0250,27.36,21.34,3,0.0058,8.18,13.09,0.0,11.7,6.73,1.86,15.12,0
DOC_0251,29.35,0.0,3,0.022,10.03,1.91,0.0,3.47,14.82,6.69,8.62,0
DOC_0252,43.25,20.64,3,0.0062,17.62,13.22,-1.0,82.55,5.82,7.11,41.25,0
DOC_0253,17.57,10.18,2,0.0044,2.58,9.29,0.0,14.98,4.46,0.0,26.35,0
DOC_0254,75.71,27.18,2,0.0124,16.59,5.85,-1.0,77.54,37.96,12.24,54.36,0
DOC_0255,19.6,48.45,2,0.0064,58.63,28.27,10.21,21.09,18.01,8.47,2.46,0
DOC_0256,41.87,15.3,3,0.0096,0.0,21.8,-1.0,19.36,43.44,4.84,30.13,0
DOC_0257,21.2,21.31,1,0.0029,18.84,1.83,7.11,20.06,3.63,15.83,29.91,0
DOC_0258,19.7,30.27,1,0.0109,8.47,4.98,-1.0,14.26,7.55,14.86,4.14,0
DOC_0259,22.04,34.89,2,0.0003,5.57,2.47,17.19,19.36,0.0,8.41,19.26,0
DOC_0260,31.66,60.7,2,0.0355,22.74,6.03,-1.0,42.61,22.49,0.24,21.61,0
DOC_0261,47.07,69.07,2,0.0135,18.51,16.88,13.7,41.53,22.77,9.61,77.02,0
DOC_0262,98.9,80.67,0,0.0071,12.34,17.8,16.43,44.74,2.87,6.44,69.95,0
DOC_0263,56.18,47.55,0,0.0055,7.52,0.0,14.61,70.28,8.28,18.17,86.46,0
DOC_0264,19.25,30.24,3,0.0003,0.0,3.56,-1.0,14.09,7.51,5.26,7.39,0
